make,model,variant,action,field,new_value,source,source_last_updated,notes
Hyundai,Verna,S 1.5 Petrol IVT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1337900,""fuel_type"":""Petrol"",""transmission"":""Automatic (CVT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1339900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX 1.5 Petrol IVT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1489900,""fuel_type"":""Petrol"",""transmission"":""Automatic (CVT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX(O) 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1519900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX(O) 1.5 Petrol IVT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1669900,""fuel_type"":""Petrol"",""transmission"":""Automatic (CVT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX 1.5 Turbo Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1509900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX 1.5 Turbo Petrol DCT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1649900,""fuel_type"":""Petrol"",""transmission"":""Automatic (DCT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX(O) 1.5 Turbo Petrol MT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1689900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Hyundai,Verna,SX(O) 1.5 Turbo Petrol DCT,ADD_VARIANT,,"{""body_type"":""Sedan"",""price_ex_showroom"":1819900,""fuel_type"":""Petrol"",""transmission"":""Automatic (DCT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253}",hyundai_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTE 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1099900,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTK 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1229000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTK Plus 1.5 Petrol MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1359000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTX 1.5 Petrol IVT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1569000,""fuel_type"":""Petrol"",""transmission"":""Automatic (CVT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTX Plus 1.5 Petrol IVT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1719000,""fuel_type"":""Petrol"",""transmission"":""Automatic (CVT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1497,""power_bhp"":113,""torque_nm"":144,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTK Plus 1.5 Turbo iMT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1549000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTX Plus 1.5 Turbo iMT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1829000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,GTX Plus 1.5 Turbo DCT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1999000,""fuel_type"":""Petrol"",""transmission"":""Automatic (DCT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,X-Line 1.5 Turbo DCT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2035000,""fuel_type"":""Petrol"",""transmission"":""Automatic (DCT)"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1482,""power_bhp"":158,""torque_nm"":253,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTE 1.5 Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1199000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTK 1.5 Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1329000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTK Plus 1.5 Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1469000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTX 1.5 Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1629000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,HTX 1.5 Diesel AT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1749000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,GTX Plus 1.5 Diesel AT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1999000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Kia,Seltos,X-Line 1.5 Diesel AT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2035000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1493,""power_bhp"":114,""torque_nm"":250,""drivetrain"":""FWD (Front Wheel Drive)""}",kia_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio Classic S Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1399000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio Classic S11 Diesel MT,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1749000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z2 Petrol MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1399000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":200,""torque_nm"":370,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z2 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1425000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z4 Petrol MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1539000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":200,""torque_nm"":370,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z4 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1599000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z6 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1699000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z8 Petrol MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1839000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":200,""torque_nm"":370,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z8 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1899000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z8L Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2099000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z8L Diesel AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2299000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,Scorpio-N / Scorpio Classic,Scorpio-N Z8L Diesel AT 4WD 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2449000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":172,""torque_nm"":400,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,MX Petrol MT 5S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1399000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,MX Diesel MT 5S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1449000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX3 Petrol MT 5S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1599000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX3 Diesel MT 5S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1649000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX5 Petrol MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1789000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX5 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1849000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX5 Petrol AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1939000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX5 Diesel AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":1999000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7 Diesel MT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2149000,""fuel_type"":""Diesel"",""transmission"":""Manual"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7 Petrol AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2249000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7 Diesel AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2299000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7L Diesel AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2499000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7L Diesel AT AWD 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2699000,""fuel_type"":""Diesel"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":2184,""power_bhp"":182,""torque_nm"":450,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Mahindra,XUV 7XO,AX7L Petrol AT 7S,ADD_VARIANT,,"{""body_type"":""SUV"",""price_ex_showroom"":2399000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":7,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1997,""power_bhp"":197,""torque_nm"":380,""drivetrain"":""FWD (Front Wheel Drive)""}",mahindra_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Sigma Petrol MT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":670000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Delta Petrol MT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":755000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Delta Petrol AMT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":805000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Zeta Petrol MT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":845000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Zeta Petrol AMT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":895000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Alpha Petrol MT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":945000,""fuel_type"":""Petrol"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Alpha Petrol AMT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":995000,""fuel_type"":""Petrol"",""transmission"":""Automatic"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":89,""torque_nm"":113}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
Maruti Suzuki,Baleno,Delta CNG MT,ADD_VARIANT,,"{""body_type"":""Hatchback"",""price_ex_showroom"":845000,""fuel_type"":""CNG"",""transmission"":""Manual"",""seating_capacity"":5,""abs"":true,""source_last_updated"":""2026-06-22"",""engine_cc"":1197,""power_bhp"":77,""torque_nm"":98}",maruti_suzuki_official_or_reputable_price_page,2026-06-22,current generation compact core row
